Election,Election Date,Race Name,County
General,03-Nov-26,State House District 25 ,Multi-County Race
General,03-Nov-26,State House District 26,Multi-County Race
General,03-Nov-26,State House District 27,Multi-County Race
General,03-Nov-26,State House District 28 ,Multi-County Race
General,03-Nov-26,State House District 29 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 30,Multi-County Race
General,03-Nov-26,Shall RICK WESTMORELAND be retained in the office of Judge of the Juvenile Court of the Second Judicial District?,Multi-County Race
General,03-Nov-26,State House District 72,Multi-County Race
General,03-Nov-26,State House District 73,Multi-County Race
General,03-Nov-26,State House District 74,Multi-County Race
General,03-Nov-26,State House District 75,Multi-County Race
General,03-Nov-26,State Senate District 28 (Multi-County),Multi-County Race
General,03-Nov-26,Shall CORAL SANCHEZ be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,Shall TODD SHAUGHNESSY be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,State House District 48,Multi-County Race
General,03-Nov-26,State House District 47,Multi-County Race
General,03-Nov-26,State House District 49,Multi-County Race
General,03-Nov-26,State House District 31,Multi-County Race
General,03-Nov-26,State House District 32,Multi-County Race
General,03-Nov-26,State House District 33,Multi-County Race
General,03-Nov-26,State House District 34,Multi-County Race
General,03-Nov-26,State House District 35,Multi-County Race
General,03-Nov-26,State House District 36,Multi-County Race
General,03-Nov-26,State House District 37,Multi-County Race
General,03-Nov-26,State House District 38,Multi-County Race
General,03-Nov-26,State House District 39,Multi-County Race
General,03-Nov-26,State House District 40,Multi-County Race
General,03-Nov-26,State House District 41,Multi-County Race
General,03-Nov-26,State House District 42,Multi-County Race
General,03-Nov-26,State House District 43,Multi-County Race
General,03-Nov-26,State House District 44,Multi-County Race
General,03-Nov-26,State House District 45,Multi-County Race
General,03-Nov-26,State House District 46,Multi-County Race
General,03-Nov-26,Shall MATTHEW L. BELL be retained in the office of Judge of the District Court of the Fifth Judicial District?,Multi-County Race
General,03-Nov-26,State House District 1 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 2,Multi-County Race
General,03-Nov-26,State House District 3,Multi-County Race
General,03-Nov-26,State House District 4 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 5,Multi-County Race
General,03-Nov-26,State House District 6 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 7,Multi-County Race
