Category,DistrictType,District,Office,County,RaceName_original,AppStatus
house,house,25,State House District 25,Multi-County Race,State House District 25,READY
house,house,26,State House District 26,Multi-County Race,State House District 26,READY
house,house,27,State House District 27,Multi-County Race,State House District 27,READY
house,house,28,State House District 28,Multi-County Race,State House District 28,READY
house,house,29,State House District 29,Multi-County Race,State House District 29 (Multi-County),READY
house,house,30,State House District 30,Multi-County Race,State House District 30,READY
judicial,,,Shall RICK WESTMORELAND be retained in the office of Judge of the Juvenile Court of the Second Judicial District?,Multi-County Race,Shall RICK WESTMORELAND be retained in the office of Judge of the Juvenile Court of the Second Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
house,house,72,State House District 72,Multi-County Race,State House District 72,READY
house,house,73,State House District 73,Multi-County Race,State House District 73,READY
house,house,74,State House District 74,Multi-County Race,State House District 74,READY
house,house,75,State House District 75,Multi-County Race,State House District 75,READY
senate,senate,28,State Senate District 28,Multi-County Race,State Senate District 28 (Multi-County),READY
judicial,,,Shall CORAL SANCHEZ be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race,Shall CORAL SANCHEZ be retained in the office of Judge of the District Court of the Third Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall TODD SHAUGHNESSY be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race,Shall TODD SHAUGHNESSY be retained in the office of Judge of the District Court of the Third Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
house,house,48,State House District 48,Multi-County Race,State House District 48,READY
house,house,47,State House District 47,Multi-County Race,State House District 47,READY
house,house,49,State House District 49,Multi-County Race,State House District 49,READY
house,house,31,State House District 31,Multi-County Race,State House District 31,READY
house,house,32,State House District 32,Multi-County Race,State House District 32,READY
house,house,33,State House District 33,Multi-County Race,State House District 33,READY
house,house,34,State House District 34,Multi-County Race,State House District 34,READY
house,house,35,State House District 35,Multi-County Race,State House District 35,READY
house,house,36,State House District 36,Multi-County Race,State House District 36,READY
house,house,37,State House District 37,Multi-County Race,State House District 37,READY
house,house,38,State House District 38,Multi-County Race,State House District 38,READY
house,house,39,State House District 39,Multi-County Race,State House District 39,READY
house,house,40,State House District 40,Multi-County Race,State House District 40,READY
house,house,41,State House District 41,Multi-County Race,State House District 41,READY
house,house,42,State House District 42,Multi-County Race,State House District 42,READY
house,house,43,State House District 43,Multi-County Race,State House District 43,READY
house,house,44,State House District 44,Multi-County Race,State House District 44,READY
house,house,45,State House District 45,Multi-County Race,State House District 45,READY
house,house,46,State House District 46,Multi-County Race,State House District 46,READY
judicial,,,Shall MATTHEW L. BELL be retained in the office of Judge of the District Court of the Fifth Judicial District?,Multi-County Race,Shall MATTHEW L. BELL be retained in the office of Judge of the District Court of the Fifth Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
house,house,1,State House District 1,Multi-County Race,State House District 1 (Multi-County),READY
house,house,2,State House District 2,Multi-County Race,State House District 2,READY
house,house,3,State House District 3,Multi-County Race,State House District 3,READY
house,house,4,State House District 4,Multi-County Race,State House District 4 (Multi-County),READY
house,house,5,State House District 5,Multi-County Race,State House District 5,READY
house,house,6,State House District 6,Multi-County Race,State House District 6 (Multi-County),READY
house,house,7,State House District 7,Multi-County Race,State House District 7,READY
house,house,8,State House District 8,Multi-County Race,State House District 8 (Multi-County),READY
house,house,9,State House District 9,Multi-County Race,State House District 9,READY
house,house,10,State House District 10,Multi-County Race,State House District 10,READY
senate,senate,5,State Senate District 5,Multi-County Race,State Senate District 5 (Multi-County),READY
senate,senate,6,State Senate District 6,Multi-County Race,State Senate District 6,READY
senate,senate,7,State Senate District 7,Multi-County Race,State Senate District 7 (Multi-County),READY
house,house,11,State House District 11,Multi-County Race,State House District 11 (Multi-County),READY
house,house,12,State House District 12,Multi-County Race,State House District 12 (Multi-County),READY
house,house,13,State House District 13,Multi-County Race,State House District 13,READY
house,house,14,State House District 14,Multi-County Race,State House District 14,READY
house,house,15,State House District 15,Multi-County Race,State House District 15,READY
house,house,16,State House District 16,Multi-County Race,State House District 16,READY
house,house,17,State House District 17,Multi-County Race,State House District 17,READY
house,house,18,State House District 18,Multi-County Race,State House District 18,READY
house,house,19,State House District 19,Multi-County Race,State House District 19,READY
house,house,20,State House District 20,Multi-County Race,State House District 20,READY
state_school_board,school_board,4,State School Board District 4,Multi-County Race,State School Board District 4 (Multi-County),READY
house,house,50,State House District 50,Multi-County Race,State House District 50,READY
house,house,51,State House District 51,Multi-County Race,State House District 51,READY
house,house,52,State House District 52,Multi-County Race,State House District 52,READY
house,house,53,State House District 53,Multi-County Race,State House District 53,READY
house,house,54,State House District 54,Multi-County Race,State House District 54,READY
house,house,55,State House District 55,Multi-County Race,State House District 55,READY
house,house,56,State House District 56,Multi-County Race,State House District 56,READY
house,house,57,State House District 57,Multi-County Race,State House District 57,READY
house,house,58,State House District 58,Multi-County Race,State House District 58,READY
house,house,59,State House District 59,Multi-County Race,State House District 59 (Multi-County),READY
house,house,60,State House District 60,Multi-County Race,State House District 60,READY
house,house,61,State House District 61,Multi-County Race,State House District 61,READY
house,house,62,State House District 62,Multi-County Race,State House District 62,READY
house,house,63,State House District 63,Multi-County Race,State House District 63,READY
house,house,64,State House District 64,Multi-County Race,State House District 64,READY
house,house,65,State House District 65,Multi-County Race,State House District 65,READY
house,house,66,State House District 66,Multi-County Race,State House District 66 (Multi-County),READY
house,house,67,State House District 67,Multi-County Race,State House District 67 (Multi-County),READY
house,house,68,State House District 68,Multi-County Race,State House District 68 (Multi-County),READY
house,house,69,State House District 69,Multi-County Race,State House District 69 (Multi-County),READY
house,house,70,State House District 70,Multi-County Race,State House District 70 (Multi-County),READY
house,house,71,State House District 71,Multi-County Race,State House District 71,READY
congress,congress,1,U.S. House District 1,Multi-County Race,U.S. House District 1,READY
congress,congress,2,U.S. House District 2,Multi-County Race,U.S. House District 2,READY
congress,congress,3,U.S. House District 3,Multi-County Race,U.S. House District 3,READY
congress,congress,4,U.S. House District 4,Multi-County Race,U.S. House District 4,READY
senate,senate,1,State Senate District 1,Multi-County Race,State Senate District 1 (Multi-County),READY
senate,senate,9,State Senate District 9,Multi-County Race,State Senate District 9,READY
senate,senate,11,State Senate District 11,Multi-County Race,State Senate District 11 (Multi-County),READY
senate,senate,12,State Senate District 12,Multi-County Race,State Senate District 12,READY
senate,senate,13,State Senate District 13,Multi-County Race,State Senate District 13,READY
senate,senate,14,State Senate District 14,Multi-County Race,State Senate District 14,READY
senate,senate,18,State Senate District 18,Multi-County Race,State Senate District 18 (Multi-County),READY
senate,senate,19,State Senate District 19,Multi-County Race,State Senate District 19 (Multi-County),READY
senate,senate,20,State Senate District 20,Multi-County Race,State Senate District 20 (Multi-County),READY
senate,senate,21,State Senate District 21,Multi-County Race,State Senate District 21,READY
