Name,Office,DistrictType,District,Party,Incumbent,Status,PhotoURL,Bio,Website,Email,Phone,Facebook,Instagram,X,VolunteerURL,DonateURL,TopIssues,Active,Order
Riley Owen,U.S. House District 1,congress,1,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Elias Henry Montgomery,U.S. House District 1,congress,1,Unaffiliated,,GENERAL,,,,,,,,,,,,TRUE,1
Jesse West,U.S. House District 1,congress,1,Libertarian,,GENERAL,,,,,,,,,,,,TRUE,1
Daniel Cottam,U.S. House District 2,congress,2,Libertarian,,GENERAL,,,,,,,,,,,,TRUE,1
Carlton E. Bowen,U.S. House District 2,congress,2,Independent American,,GENERAL,,,,,,,,,,,,TRUE,1
Robert M. Moesinger,U.S. House District 2,congress,2,Unaffiliated,,GENERAL,,,,,,,,,,,,TRUE,1
Peter Crosby,U.S. House District 2,congress,2,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Cassie Easley,U.S. House District 3,congress,3,Constitution,,GENERAL,,,,,,,,,,,,TRUE,1
Kent S. Udell,U.S. House District 3,congress,3,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Adonis Hooslyn,U.S. House District 3,congress,3,Unaffiliated,,GENERAL,,,,,,,,,,,,TRUE,1
Ayden Scott,U.S. House District 3,congress,3,Unaffiliated,,GENERAL,,,,,,,,,,,,TRUE,1
Michael R. Stoddard,U.S. House District 3,congress,3,Libertarian,,GENERAL,,,,,,,,,,,,TRUE,1
Mike Kennedy,U.S. House District 4,congress,4,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Steven Burt,U.S. House District 4,congress,4,Unaffiliated,,GENERAL,,,,,,,,,,,,TRUE,1
Jonny Larsen,U.S. House District 4,congress,4,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Taylor Wright,U.S. House District 4,congress,4,Libertarian,,GENERAL,,,,,,,,,,,,TRUE,1
Claudia Bigler,State Senate District 1 (Multi-County),senate,1,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Scott Sandall,State Senate District 1 (Multi-County),senate,1,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Julie Quinlan,State Senate District 1 (Multi-County),senate,1,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Emily Buss,State Senate District 11 (Multi-County),senate,11,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Mackenzie Miller,State Senate District 11 (Multi-County),senate,11,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Brooks Benson,State Senate District 11 (Multi-County),senate,11,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Deidre Tyler,State Senate District 12,senate,12,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Karen Kwan,State Senate District 12,senate,12,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Colin Smith,State Senate District 13,senate,13,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Ryan L. Mahoney,State Senate District 13,senate,13,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
A Dane Anderson,State Senate District 18 (Multi-County),senate,18,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Shana Anderson,State Senate District 19 (Multi-County),senate,19,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Kirk Cullimore,State Senate District 19 (Multi-County),senate,19,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Annette Mcrae,State Senate District 20 (Multi-County),senate,20,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Ronald M Winterton,State Senate District 20 (Multi-County),senate,20,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Kandee Myers,State Senate District 21,senate,21,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Wayne Woodfield,State Senate District 21,senate,21,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Tucker Smith,State Senate District 23,senate,23,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Keith Grover,State Senate District 23,senate,23,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Evan J Vickers,State Senate District 28 (Multi-County),senate,28,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Richard S Robillard,State Senate District 28 (Multi-County),senate,28,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Jill F. Koford,State Senate District 5 (Multi-County),senate,5,Republican,,GENERAL,,,,,,,,,,,,TRUE,1
Josh Smith,State Senate District 6,senate,6,Forward,,GENERAL,,,,,,,,,,,,TRUE,1
Jared Neal,State Senate District 6,senate,6,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
Garret Rushforth,State Senate District 7 (Multi-County),senate,7,Democratic,,GENERAL,,,,,,,,,,,,TRUE,1
